athlete,athlete_id,medals_won,sport,rank
,141268,1,Surfing,4
,147263,1,Surfing,5
,140829,1,Surfing,6
,93860,28,Swimming,1
,51218,12,Swimming,2
,51217,12,Swimming,3
,103301,12,Swimming,4
,103585,12,Swimming,5
,51572,11,Swimming,6
,51266,11,Swimming,7
,129061,11,Swimming,8
,51378,10,Swimming,9
,47755,10,Swimming,10
,117509,6,Table Tennis,1
,93957,5,Table Tennis,2
,107509,5,Table Tennis,3
,121929,5,Table Tennis,4
,2317,4,Table Tennis,5
,93956,4,Table Tennis,6
,121928,4,Table Tennis,7
,933,4,Table Tennis,8
,109571,4,Table Tennis,9
,121931,4,Table Tennis,10
,94119,3,Taekwondo,1
,94165,3,Taekwondo,2
,108165,3,Taekwondo,3
,117404,3,Taekwondo,4
,120950,2,Taekwondo,5
,94106,2,Taekwondo,6
,133215,2,Taekwondo,7
,124562,2,Taekwondo,8
,117427,2,Taekwondo,9
,117366,2,Taekwondo,10
,59,5,Tennis,1
,94425,5,Tennis,2
,88,4,Tennis,3
,87,4,Tennis,4
,2416,4,Tennis,5
,94424,4,Tennis,6
,106,4,Tennis,7
,2633,4,Tennis,8
,89,4,Tennis,9
,12,4,Tennis,10
,116823,4,Trampolining,1
,91267,3,Trampolining,2
,116822,2,Trampolining,3
,116816,2,Trampolining,4
,130288,2,Trampolining,5
,91569,2,Trampolining,6
,108567,2,Trampolining,7
,116815,2,Trampolining,8
,133216,1,Trampolining,9
,129692,1,Trampolining,10
,122618,3,Triathlon,1
,132170,2,Triathlon,2
,143206,2,Triathlon,3
,116219,2,Triathlon,4
,106503,2,Triathlon,5
,143085,2,Triathlon,6
,94454,2,Triathlon,7
,106104,1,Triathlon,8
,106097,1,Triathlon,9
,94292,1,Triathlon,10
,18040,3,Tug-Of-War,1
,18044,3,Tug-Of-War,2
,18034,3,Tug-Of-War,3
,17806,2,Tug-Of-War,4
,66989,2,Tug-Of-War,5
,76331,2,Tug-Of-War,6
,18041,2,Tug-Of-War,7
,67011,2,Tug-Of-War,8
,18025,2,Tug-Of-War,9
,18027,2,Tug-Of-War,10
,52457,4,Volleyball,1
,52988,4,Volleyball,2
,53155,4,Volleyball,3
,109262,4,Volleyball,4
,52181,4,Volleyball,5
,94811,3,Volleyball,6
,109261,3,Volleyball,7
,94794,3,Volleyball,8
,52461,3,Volleyball,9
,114256,3,Volleyball,10
,54156,5,Water Polo,1
,54192,4,Water Polo,2
,54173,4,Water Polo,3
,54171,4,Water Polo,4
,54213,4,Water Polo,5
,53513,4,Water Polo,6
,54136,4,Water Polo,7
,114221,4,Water Polo,8
,114222,4,Water Polo,9
,94900,4,Water Polo,10
,57018,4,Weightlifting,1
,116304,4,Weightlifting,2
,55874,4,Weightlifting,3
,55879,4,Weightlifting,4
,56977,3,Weightlifting,5
,94740,3,Weightlifting,6
,56548,3,Weightlifting,7
,55950,3,Weightlifting,8
,55849,3,Weightlifting,9
,56868,3,Weightlifting,10
,58341,5,Wrestling,1
,59868,4,Wrestling,2
,60571,4,Wrestling,3
,107601,4,Wrestling,4
,116984,4,Wrestling,5
,107562,4,Wrestling,6
,57926,4,Wrestling,7
,58628,4,Wrestling,8
,60134,4,Wrestling,9
,107550,4,Wrestling,10
